,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5169,United States,Kansas,mlp_model_1110_6,35.20583856847276,1.0
5169,United States,Kansas,mlp_model_1110,48.49786270616815,2.0
5169,United States,Kansas,mlp_model_1110_2,93.6954169112867,3.0
5169,United States,Kansas,mlp_model_0110_6,152.37688863328407,4.0
5169,United States,Kansas,LSTM,258.92312313298123,5.0
5169,United States,Kansas,Linear,306.9209546676399,6.0
5169,United States,Kansas,mlp_model_0110_2,357.53047611515717,7.0
5169,United States,Kansas,mlp_model_0110,68829.92657587859,8.0
5191,United States,Kentucky,mlp_model_0110_6,74.51452651473875,1.0
5191,United States,Kentucky,mlp_model_1110,86.00625649206717,2.0
5191,United States,Kentucky,mlp_model_0110_2,109.43218149898952,3.0
5191,United States,Kentucky,LSTM,195.98176574620982,4.0
5191,United States,Kentucky,Linear,211.03704107052025,5.0
5191,United States,Kentucky,mlp_model_1110_2,232.36349129483077,6.0
5191,United States,Kentucky,mlp_model_1110_6,318.4284828686262,7.0
5191,United States,Kentucky,mlp_model_0110,10032.272128961322,8.0
5213,United States,Louisiana,mlp_model_1110_6,89.49766329618018,1.0
5213,United States,Louisiana,LSTM,121.83471090450885,2.0
5213,United States,Louisiana,mlp_model_1110,171.18870475997136,3.0
5213,United States,Louisiana,mlp_model_1110_2,175.59274640554946,4.0
5213,United States,Louisiana,Linear,213.30705017607585,5.0
5213,United States,Louisiana,mlp_model_0110_6,216.93742444111544,6.0
5213,United States,Louisiana,mlp_model_0110_2,327.5478850036648,7.0
5213,United States,Louisiana,mlp_model_0110,15624.53257930109,8.0
5235,United States,Maine,LSTM,136.65694953133115,1.0
5235,United States,Maine,Linear,168.41431594343575,2.0
5235,United States,Maine,mlp_model_1110_6,408.2657882022999,3.5
5235,United States,Maine,mlp_model_1110,408.2657882023145,3.5
5235,United States,Maine,mlp_model_0110_2,413.08467926990113,5.0
5235,United States,Maine,mlp_model_1110_2,415.85380471817746,6.0
5235,United States,Maine,mlp_model_0110_6,417.24358885730805,7.0
5235,United States,Maine,mlp_model_0110,46672.19636246758,8.0
5257,United States,Maryland,LSTM,51.268356782478826,1.0
5257,United States,Maryland,Linear,76.7765153758381,2.0
5257,United States,Maryland,mlp_model_1110_2,255.5037339531597,3.0
5257,United States,Maryland,mlp_model_1110_6,273.2514523329512,4.0
5257,United States,Maryland,mlp_model_1110,281.55484451910206,5.0
5257,United States,Maryland,mlp_model_0110_6,286.4856536595894,6.0
5257,United States,Maryland,mlp_model_0110_2,327.6690141866402,7.0
5257,United States,Maryland,mlp_model_0110,15816.452636622043,8.0
5279,United States,Massachusetts,LSTM,61.5853780885495,1.0
5279,United States,Massachusetts,Linear,168.5660432566439,2.0
5279,United States,Massachusetts,mlp_model_1110,288.974076405811,3.0
5279,United States,Massachusetts,mlp_model_0110_2,344.7566603327681,4.0
5279,United States,Massachusetts,mlp_model_1110_2,416.57085104072576,5.0
5279,United States,Massachusetts,mlp_model_1110_6,507.8102835560952,6.0
5279,United States,Massachusetts,mlp_model_0110_6,509.3447575148065,7.0
5279,United States,Massachusetts,mlp_model_0110,2212.008617984331,8.0
5301,United States,Michigan,mlp_model_1110,59.89175107446341,1.0
5301,United States,Michigan,mlp_model_0110_6,68.47104134765479,2.0
5301,United States,Michigan,mlp_model_1110_6,140.83759002367336,3.0
5301,United States,Michigan,mlp_model_1110_2,177.93030222254112,4.0
5301,United States,Michigan,mlp_model_0110_2,207.04391170551727,5.0
5301,United States,Michigan,Linear,263.70465835101834,6.0
5301,United States,Michigan,LSTM,295.3173512160396,7.0
5301,United States,Michigan,mlp_model_0110,742.0604900353004,8.0
5323,United States,Minnesota,mlp_model_0110_6,64.28069143477757,1.0
5323,United States,Minnesota,mlp_model_1110,94.30114871335309,2.0
5323,United States,Minnesota,mlp_model_1110_6,125.03701782915704,3.0
5323,United States,Minnesota,mlp_model_1110_2,290.7481908789172,4.0
5323,United States,Minnesota,Linear,383.0297885055906,5.0
5323,United States,Minnesota,mlp_model_0110_2,434.77157489370575,6.0
5323,United States,Minnesota,LSTM,542.9535802660137,7.0
5323,United States,Minnesota,mlp_model_0110,651.1093981941723,8.0
5345,United States,Mississippi,Linear,61.16515194037138,1.0
5345,United States,Mississippi,LSTM,106.50218275528232,2.0
5345,United States,Mississippi,mlp_model_0110_2,187.78918062746425,3.0
5345,United States,Mississippi,mlp_model_0110_6,207.1978955487833,4.0
5345,United States,Mississippi,mlp_model_1110_6,257.1448205184448,5.0
5345,United States,Mississippi,mlp_model_1110,319.09424142943743,6.0
5345,United States,Mississippi,mlp_model_1110_2,328.87352553360284,7.0
5345,United States,Mississippi,mlp_model_0110,2636.0716927598555,8.0
5367,United States,Missouri,mlp_model_1110_6,44.53815933307434,1.0
5367,United States,Missouri,mlp_model_0110_6,120.187554279386,2.0
5367,United States,Missouri,Linear,130.46461471298247,3.0
5367,United States,Missouri,mlp_model_1110_2,141.2335109362665,4.0
5367,United States,Missouri,mlp_model_1110,142.54294942960692,5.0
5367,United States,Missouri,LSTM,192.94455626196336,6.0
5367,United States,Missouri,mlp_model_0110_2,395.6879441146143,7.0
5367,United States,Missouri,mlp_model_0110,2735.1714529223814,8.0
5389,United States,Montana,mlp_model_1110,98.20247541324841,1.0
5389,United States,Montana,mlp_model_1110_6,104.48163097218298,2.0
5389,United States,Montana,Linear,203.96222240532296,3.0
5389,United States,Montana,mlp_model_1110_2,395.0264165306091,4.0
5389,United States,Montana,LSTM,442.76986986371276,5.0
5389,United States,Montana,mlp_model_0110_6,622.3886637189534,6.0
5389,United States,Montana,mlp_model_0110_2,1445.7512923773859,7.0
5389,United States,Montana,mlp_model_0110,100743.29747316154,8.0
5411,United States,Nebraska,mlp_model_1110_2,169.77992778888355,1.0
5411,United States,Nebraska,mlp_model_0110_6,175.59718153228891,2.0
5411,United States,Nebraska,mlp_model_1110_6,225.49478430650515,3.0
5411,United States,Nebraska,mlp_model_0110_2,274.4035741948673,4.0
5411,United States,Nebraska,mlp_model_1110,301.8118431216446,5.0
5411,United States,Nebraska,Linear,331.63043507226104,6.0
5411,United States,Nebraska,LSTM,559.6261770324606,7.0
5411,United States,Nebraska,mlp_model_0110,24222.734611530275,8.0
5433,United States,Nevada,Linear,159.5663056546933,1.0
5433,United States,Nevada,LSTM,195.25308090989017,2.0
5433,United States,Nevada,mlp_model_0110_6,196.78045564172035,3.0
5433,United States,Nevada,mlp_model_1110,248.44632121359106,4.0
5433,United States,Nevada,mlp_model_1110_2,388.6645046602611,5.0
